config,model,seed,run,dataset,accuracy,balanced_accuracy,auc,precision,recall,f1,rmse,mae,r2,val_accuracy
A,tkan,0,0,kotekar,0.5641025641025641,0.5,0.4898061497326204,0.5641025641025641,1.0,0.7213114754098361,0.4060092909823315,0.33183553814888,-0.012508392333984375,0.6
A,tkan,1,1,kotekar,0.5641025641025641,0.5,0.5200534759358288,0.5641025641025641,1.0,0.7213114754098361,0.4036106791621224,0.32489049434661865,-0.0005803108215332031,0.6
A,tkan,2,2,kotekar,0.5641025641025641,0.5,0.43766711229946526,0.5641025641025641,1.0,0.7213114754098361,0.4072220616812315,0.33391091227531433,-0.018566250801086426,0.6
A,tkan,3,3,kotekar,0.5641025641025641,0.5,0.47718917112299464,0.5641025641025641,1.0,0.7213114754098361,0.40379757848843,0.3270682096481323,-0.0015072822570800781,0.6
A,tkan,4,4,kotekar,0.5641025641025641,0.5,0.533923796791444,0.5641025641025641,1.0,0.7213114754098361,0.407942255066361,0.33502042293548584,-0.022172212600708008,0.6
A,tkan,5,5,kotekar,0.5641025641025641,0.5,0.4476102941176471,0.5641025641025641,1.0,0.7213114754098361,0.4034802763855968,0.32570382952690125,6.604194641113281e-05,0.6
A,tkan,6,6,kotekar,0.5641025641025641,0.5,0.4748495989304813,0.5641025641025641,1.0,0.7213114754098361,0.40352195151318854,0.32606226205825806,-0.0001404285430908203,0.6
A,tkan,7,7,kotekar,0.5641025641025641,0.5,0.5407754010695187,0.5641025641025641,1.0,0.7213114754098361,0.40399440563336786,0.32395219802856445,-0.002483844757080078,0.6
A,tkan,8,8,kotekar,0.5641025641025641,0.5,0.5416109625668448,0.5641025641025641,1.0,0.7213114754098361,0.40809082238651373,0.33523353934288025,-0.022916793823242188,0.6
A,tkan,9,9,kotekar,0.5641025641025641,0.5,0.500417780748663,0.5641025641025641,1.0,0.7213114754098361,0.40382245004260114,0.3272007703781128,-0.0016306638717651367,0.6
A,tkan,10,10,kotekar,0.5641025641025641,0.5,0.5181316844919787,0.5641025641025641,1.0,0.7213114754098361,0.4038582048303622,0.3273662030696869,-0.0018079280853271484,0.6
